File,Total,Status Report,Query,Plan Announcement,Coordination,Help Request,Help Offer,Acknowledgment,Instruction,Other
2749,8,3,2,0,2,0,0,0,1,0
2750,8,3,2,0,2,0,0,0,1,0
2751,16,3,4,4,0,0,1,2,2,0
2752,16,3,4,5,1,0,1,1,1,0
2753,7,3,2,0,0,0,0,0,2,0
2754,8,3,2,0,0,0,0,0,2,1
2755,5,3,1,0,0,0,0,0,1,0
2756,5,2,2,0,0,0,0,0,1,0
2757,7,4,2,0,0,0,0,0,1,0
2758,8,5,2,0,0,0,0,0,1,0
2759,9,4,4,0,0,0,0,0,1,0
2760,8,3,4,0,0,0,0,0,1,0
2761,7,4,2,0,0,0,0,0,1,0
2762,8,4,2,0,0,0,0,0,1,1
2763,8,3,2,0,2,0,0,0,1,0
2764,8,3,3,0,1,0,0,0,1,0
2765,7,4,2,0,0,0,0,0,1,0
2766,7,4,1,0,1,0,0,0,1,0
2767,7,4,2,0,0,0,0,0,1,0
2768,7,4,2,0,0,0,0,0,1,0
2769,16,6,3,2,1,0,0,3,1,0
2770,16,7,2,2,1,0,0,3,1,0
2771,15,6,2,2,1,0,0,3,1,0
2772,15,5,3,2,1,0,0,3,1,0
2773,14,5,1,0,4,0,0,3,1,0
2774,14,5,0,0,5,0,0,3,1,0
2775,13,5,0,2,3,0,0,2,1,0
2776,14,5,1,1,4,0,0,2,1,0
2777,15,9,0,1,2,0,0,2,1,0
2778,15,9,0,2,1,0,0,2,1,0
2779,15,8,0,1,2,0,0,3,1,0
2780,15,9,1,1,1,0,0,2,1,0
2781,17,8,2,2,2,0,0,2,1,0
2782,17,8,2,2,2,0,0,2,1,0
2783,17,8,2,2,2,0,0,2,1,0
2784,17,7,2,2,2,0,0,3,1,0
2785,18,10,2,2,2,0,0,1,1,0
2786,18,10,2,2,2,0,0,1,1,0
2787,18,10,1,2,3,0,0,1,1,0
2788,18,9,2,2,3,0,0,1,1,0
2789,15,10,1,0,1,0,0,2,1,0
2790,16,11,0,0,1,0,0,3,1,0
2791,15,11,0,0,0,0,0,3,1,0
2792,14,9,1,0,0,0,0,3,1,0
2793,9,7,0,0,1,0,0,0,1,0
2794,9,7,0,0,1,0,0,0,1,0
2795,9,7,0,0,1,0,0,0,1,0
2796,9,7,0,0,1,0,0,0,1,0
2797,11,8,0,1,0,0,0,1,1,0
2798,11,8,0,1,0,0,0,1,1,0
2799,11,8,0,1,0,0,0,1,1,0
2800,11,8,0,1,0,0,0,1,1,0
2801,10,7,0,1,0,0,0,1,1,0
2802,10,7,0,1,0,0,0,1,1,0
2803,10,6,0,1,0,0,0,2,1,0
2804,10,7,0,1,0,0,0,1,1,0
2805,15,10,1,2,1,0,0,0,1,0
2806,14,9,1,2,1,0,0,0,1,0
2807,14,9,1,2,1,0,0,0,1,0
2808,14,9,1,2,1,0,0,0,1,0
2809,13,6,2,1,0,0,0,3,1,0
2810,13,6,2,1,0,0,0,3,1,0
2811,13,6,2,1,0,0,0,3,1,0
2812,71,17,3,17,20,9,0,3,2,0
2813,70,16,3,18,19,9,0,3,2,0
2814,70,17,3,17,20,8,0,3,2,0
2815,21,12,2,0,3,0,0,3,1,0
2816,21,13,2,0,4,0,0,1,1,0
2817,19,12,2,0,3,0,0,1,1,0
2818,23,7,2,1,3,1,0,8,1,0
2819,23,6,2,1,3,2,0,8,1,0
2820,23,7,2,1,3,1,0,8,1,0
2821,15,5,1,2,3,0,0,3,1,0
2822,15,5,1,3,2,0,0,3,1,0
2823,15,6,1,2,2,0,0,3,1,0
2824,11,4,0,3,2,0,0,1,1,0
2825,11,4,0,4,1,0,0,1,1,0
2826,11,4,0,5,0,0,0,1,1,0
2827,13,5,1,2,3,0,0,1,1,0
2828,13,5,1,1,4,0,0,1,1,0
2829,13,5,1,1,4,0,0,1,1,0
2830,13,7,0,1,1,0,0,3,1,0
2831,14,8,0,1,1,0,0,3,1,0
2832,14,7,1,1,1,0,0,3,1,0
2833,19,9,4,3,1,0,0,1,1,0
2834,18,9,3,3,1,0,0,1,1,0
2835,19,9,4,3,1,0,0,1,1,0
2836,21,3,6,1,5,0,0,5,1,0
2837,21,3,6,1,5,0,0,5,1,0
2838,21,3,6,1,5,0,0,5,1,0
2839,22,8,2,1,3,0,0,6,2,0
2840,22,8,2,2,2,0,0,6,2,0
2841,20,8,2,2,3,0,0,4,1,0
2842,20,6,2,1,3,0,0,6,2,0
2843,12,7,0,4,0,0,0,0,1,0
2844,12,7,0,4,0,0,0,0,1,0
2845,12,7,0,4,0,0,0,0,1,0
2846,11,7,0,3,0,0,0,0,1,0
2847,18,9,0,4,1,0,0,3,1,0
2848,17,9,0,4,1,0,0,2,1,0
2849,18,10,0,4,1,0,0,2,1,0
2850,18,9,0,4,1,0,0,3,1,0
2851,34,11,0,8,7,0,0,5,2,1
2852,33,10,1,6,8,0,0,5,2,1
2853,33,8,1,8,7,0,0,6,2,1
2854,32,11,1,9,5,0,0,4,2,0
2855,20,14,1,2,1,0,0,1,1,0
2856,20,14,1,1,1,0,0,2,1,0
2857,20,14,1,1,1,0,0,2,1,0
2858,19,13,1,2,1,0,0,1,1,0
2859,15,6,0,4,1,0,0,3,1,0
2860,15,6,0,4,1,0,0,3,1,0
2861,12,5,0,2,2,0,0,2,1,0
2862,15,6,0,3,2,0,0,3,1,0
2863,13,7,1,2,1,0,0,1,1,0
2864,13,7,1,2,1,0,0,1,1,0
2865,13,8,1,1,1,0,0,1,1,0
2866,12,8,1,1,0,0,0,1,1,0
2867,16,4,0,4,3,0,0,4,1,0
2868,17,5,0,4,3,0,0,4,1,0
2869,17,5,0,4,3,0,0,4,1,0
2870,16,4,0,2,5,0,0,4,1,0
2871,25,13,1,4,3,0,0,3,1,0
